Company Name,Title,Address,Phone,Email,Website,Category,Rating,Reviews Count,Snippet,Lead Score,Lead Status,Lead Source,URL
CSH Pharmacy: Online Pharmacy - Medical Store - Fast ...,CSH Pharmacy: Online Pharmacy - Medical Store - Fast ...,"123 - E-1, Gulberg III, Lahore
+92 305 4441162
info@cshpharmacy.com.pk
www.cshpharmacy.com.pk
FB
IN
YouTube",920700172582,info@cshpharmacy.com.pk,https://cshpharmacy.com.pk/?srsltid=AfmBOopd7wBs416oMv7YoTFbFdwL3HrbfJ3jzd4iNzvYCL34t3dzhmtz,,,,"Trusted Medical Store in Lahore since 2007. Buy Medicines, Vitamins, Baby Milk Powder and more. 24-Hours Open. 50mins Medicine Delivery in Lahore. 2-3 Days ...",85,Hot,Google Search,https://cshpharmacy.com.pk/?srsltid=AfmBOopd7wBs416oMv7YoTFbFdwL3HrbfJ3jzd4iNzvYCL34t3dzhmtz
Online Pharmacy Store Near Me-Medicine Delivery Lahore ...,Online Pharmacy Store Near Me-Medicine Delivery Lahore ...,0 MuiDrawer,3631652943,info@nmp.com.pk,https://nmp.com.pk/,,,,Searching for the best online medical store or pharmacy near me? NMP is the leading medical stores chain for online medicine delivery in Lahore & across ...,85,Hot,Google Search,https://nmp.com.pk/
Chughtai Pharmacy,Chughtai Pharmacy Lahore | Online Medicine Delivery,"Book Home Sample
View Reports
B2B Partnership
Contact Us
آپکی صحت کا نمبر 24/7
03-111-456-789
Patient Login
About
Lab
Radiology
Clinics
Home Nursing Care
Old Age Care
Pharmacy
International Services
Health Cards
Health Profiles",923111456789,info@chughtailab.com,https://chughtailab.com/chughtai-pharmacy/,,,,Chughtai Pharmacy offers expert guidance and online medicine delivery in Lahore. Find a pharmacy near you for free home delivery of quality medicines.,85,Hot,Google Search,https://chughtailab.com/chughtai-pharmacy/
Mahmood Pharmacy: Home,Mahmood Pharmacy: Home,100  Order Deliver Time,924293002401,Info@MahmoodPharmacy.com.pk,https://mahmoodpharmacy.com.pk/?srsltid=AfmBOoqiHg3mXnaXftVD4D4OlLW0NNpY22E52aQv7qx6VuEGrgMpXwaJ,,,,"Mahmood pharmacy is a trusted name by ministry of health well known consultants, general practitioners and various well known organizations most important by ...",85,Hot,Google Search,https://mahmoodpharmacy.com.pk/?srsltid=AfmBOoqiHg3mXnaXftVD4D4OlLW0NNpY22E52aQv7qx6VuEGrgMpXwaJ
Valid Drug Sale Licensed Outlets in Punjab,Valid Drug Sale Licensed Outlets in Punjab,2 topLabel,6358277738,,https://cdsl.pshealthpunjab.gov.pk/src/LicensedOutletList.aspx?ctl00_ContentPlaceHolder1_RadGrid1ChangePage=410_50,,,,"Valid Drug Sale Licensed Outlets in Punjab ; LAHORE, Wagah Town, M/S New Farhan Pharmacy ; LAHORE, Wagah Town, M/S Pharma Keia Medical Store ; LAHORE, Wagah Town ...",60,Warm,Google Search,https://cdsl.pshealthpunjab.gov.pk/src/LicensedOutletList.aspx?ctl00_ContentPlaceHolder1_RadGrid1ChangePage=410_50
24/7 Support,Khalid Pharmacy: Online Pharmacy Store in Lahore,20 products,923347672108,info@khalidpharmacy.com,https://khalidpharmacy.com/,SELECT CATEGORY,,,Buy Medicines Online in Lahore with Fast Delivery from Khalid Pharmacy. We are Most Trusted Online Pharmacy Store at Most Affordable Prices.,90,Hot,Google Search,https://khalidpharmacy.com/
DVAGO - Pakistan’S Best Online Pharmacy & Medical Store,Premier Online Pharmacy & Online Medical Store in Pakistan ...,No Address Selected,2584273406,feedback@dvago.pk,https://www.dvago.pk/?srsltid=AfmBOoqNunfPZnpcDMoUioUYqwhHu2Mj77n2n0HN8Nn_ho6THkWdVICo,"Medicine
Baby & Mother Care
Nutritions & Supplements
Foods & Beverages
Devices & Support
Personal Care
OTC And Health Need",,,Buy authentic pharmaceutical & wellness products from Online Pharmacy & Medical Store Online or Find a DVAGO Store near you. Call us to order at 021-11-11-38246,90,Hot,Google Search,https://www.dvago.pk/?srsltid=AfmBOoqNunfPZnpcDMoUioUYqwhHu2Mj77n2n0HN8Nn_ho6THkWdVICo
Outlet in Lahore,Outlet in Lahore,"Careers
Contact Us
News
Branches
Home

Outlet in Lahore
CENTRAL PHARMACY (Franchise of Clinix)
:Address
153, Main Multan Road, near Shahnoor studios, Allama Iqbal Town, Lahore
:Phone
04237809519
:Email
central@clinix.com.pk
:Closing Time
02:00
:Opening Time
07:00
WAHDAT BRANCH PHARMACY (Franchise of Clinix)
:Address
Plot # 8, Alfalah Shopping Center, Wahdat Road, Lahore
:Phone
04235912797, 04235912798
:Email
wahdatbranch@clinix.com.pk
:Closing Time
02:00
:Opening Time
07:00
CHAUBURJI PHARMACY (Franchise of Clinix)
:Address
S-3, Iftikhar Building, Chowk Chauburji, Lahore
:Phone
04237125050
:Email
chauburji@clinix.com.pk
:Closing Time
02:00
:Opening Time
07:00
JINNAH PHARMACY (Franchise of Clinix)
:Address
518-A, Opp. Jinnah Hospital, Faisal Town, Lahore
:Phone
04235177772 , 04235178444
:Email
jinnah@clinix.com.pk
24/7:Timings
SHALAMAR LINK PHARMACY (Franchise of Clinix)
:Address
21-C, Shalamar Link Road, Opp. Shalamar Hospital, Mughalpura, Lahore
:Phone
04236848000, 04236848001
:Email
shalamarlink@clinix.com.pk
24/7:Timings
GARHI SHAHU PHARMACY (Franchise of Clinix)
:Address
SE-II/R, Dewrand Road, Taj Cinema Chowk, Garhi Shahu, Lahore
:Phone
04236375433, 04236375434
:Email
garhishahu@clinix.com.pk
:Closing Time
02:00
:Opening Time
07:00
AKBAR CHOWK PHARMACY (Franchise of Clinix)
:Address
852-D-F, Faisal Town, Lahore
:Phone
04235173535, 04235221739
:Email
akbarchowk@clinix.com.pk
:Closing Time
02:00
:Opening Time
07:00
SIMS PHARMACY (Franchise of Clinix)
:Address
85-D, Opp. Services Hospital, Jail Road, Lahore
:Phone
04235408355, 04235408359
:Email
sims@clinix.com.pk
24/7:Timings
NAWAB TOWN PHARMACY (Franchise of Clinix)
:Address
Plot # 1, Block-C, Nawab Town, 1-Km, Raiwind Road, Lahore
:Phone
04235316177, 04235316188
:Email
nawabtown@clinix.com.pk
:Closing Time
02:00
:Opening Time
07:00
DEFENCE PHARMACY (Franchise of Clinix)
:Address
290, Q-Block, Ghazi Road, D.H.A. Lahore
:Phone
04235708200, 04235708201
:Email
defence@clinix.com.pk
:Closing Time
02:00
:Opening Time
07:00
JOHAR LINK PHARMACY (Franchise of Clinix)
:Address
50-A, Revenue Society, Shadewal Chowk, Johar Town, Lahore
:Phone
04235188391, 04235188392
:Email
joharlink@clinix.com.pk
:Closing Time
02:00
:Opening Time
07:00
SHAMA PHARMACY (Franchise of Clinix)
:Address
Property # S-86-R-9, Ferozpur Road, Lahore
:Phone
04237425335, 04237425336
:Email
shama@clinix.com.pk
:Closing Time
02:00
:Opening Time
07:00
TOWNS LINK PHARMACY (Franchise of Clinix)
:Address
Property # C-1-A, Pindi Rajpootan, Rohi Nala, Main Peco Road, Lahore
:Phone
04235970173, 04235970042
:Email
townslink@clinix.com.pk
:Closing Time
02:00
:Opening Time
07:00
SHAHDARAH PHARMACY (Franchise of Clinix)
:Address
R-S-B/124, Yasrab Colony, Main GT Road, Near Shahdara Chowk, Lahore
:Phone
04237915551, 04237915552
:Email
shahdarah@clinix.com.pk
:Closing Time
02:00
:Opening Time
07:00
GULSHAN-E-RAVI PHARMACY (Franchise of Clinix)
:Address
33, Urdu Nagar, Main Boulevard, Gulshan-e-Ravi, Lahore
:Phone
04237480472, 04237480473
:Email
gulshaneravi@clinix.com.pk
:Closing Time
02:00
:Opening Time
07:00
G-ONE PHARMACY (Franchise of Clinix)
:Address
2-A, Block-G, Johar Town, Lahore
:Phone
04235240632, 04235311805
:Email
gone@clinix.com.pk
:Closing Time
02:00
:Opening Time
07:00
SHADBAGH PHARMACY (Franchise of Clinix)
:Address
57, Aziz Road, Chowk Nakhuda, Misri Shah, Lahore
:Phone
04237609065, 04237609071
:Email
shadbagh@clinix.com.pk
:Closing Time
02:00
:Opening Time
07:00
SAMANABAD PHARMACY (Franchise of Clinix)
:Address
376, Poonch Road, Samanabad, Lahore
:Phone
04237582436, 042387582437
:Email
samanabad@clinix.com.pk
:Closing Time
02:00
:Opening Time
07:00
AL-REHMAN PHARMACY (Franchise of Clinix)
:Address
Yaseen Building, near Gourmet Bakers, Swami Nagar, Lahore
:Phone
04237102070, 04237102152
:Email
alrehman@clinix.com.pk
:Closing Time
02:00
:Opening Time
07:00
YADGAR PHARMACY (Franchise of Clinix)
:Address
W-38R-303/RH/SHOPS, Opp. Lady Willingdon Hospital, Lahore
:Phone
04237722560, 04237722561
:Email
yadgar@clinix.com.pk
:Closing Time
02:00
:Opening Time
07:00
SANDA PHARMACY (Franchise of Clinix)
:Address
14/A, main Sanda Road, Sanda, Lahore
:Phone
04237171725, 04237171726
:Email
sanda@clinix.com.pk
:Closing Time
02:00
:Opening Time
07:00
LAHORE CITY PHARMACY (Franchise of Clinix)
:Address
3, Outfall Road, near Ghora Hospital, Lahore
:Phone
04237153317, 04237153318
:Email
lahorecity@clinix.com.pk
:Closing Time
02:00
:Opening Time
07:00
CANAL BANK PHARMACY (Franchise of Clinix)
:Address
12, Al-Noor Street, Near Grid Station, Fateh Garh, Lahore
:Phone
04236544440, 04236544441
:Email
canalbank@clinix.com.pk
:Closing Time
2:00
:Opening Time
7:00
HOPE PHARMACY (Franchise of Clinix)
:Address
14, Hunza Block Allama Iqbal Town Lahore
:Phone
04237873269
:Email
hope@clinix.com.pk
:Closing Time
2:00
:Opening Time
7:00
M IQBAL PHARMACY (Franchise of Clinix)
:Address
Allah Wala Plaza, New Canal Bank Road, Taj Bagh, Lahore
:Phone
04237308685
:Email
m.iqbal@clinix.com.pk
:Closing Time
02:00
:Opening Time
07:00
BOULEVARD PHARMACY (Franchise of Clinix)
:Address
Plaza # 9, H-Block, Phase-1, DHA, Lahore
:Phone
04237204488
:Email
boulevard@clinix.com.pk
:Closing Time
02:00
:Opening Time
07:00
HUSSAIN PHARMACY (Franchise of Clinix)
:Address
Property # 58-B, Hussain Chowk, Gulberg-III, Lahore
:Phone
04235779798
:Email
hussain@clinix.com.pk
:Closing Time
02:00
:Opening Time
07:00
GMT PHARMACY (Franchise of Clinix)
:Address
Gajju Matah Metro Bus Station Stop, Near Rohi Nala, Main Ferozpur Road, Lahore
:Phone
04235965396, 04235965397
:Email
gmt@clinix.com.pk
:Closing Time
02:00
:Opening Time
07:00
AVENUE PHARMACY (Franchise of Clinix)
:Address
Allah Hoo Chowk, Khayaban-e-Firdousi, Johar Town, Lahore
:Phone
04232345210
:Email
avenue@clinix.com.pk
:Closing Time
02:00
:Opening Time
07:00
GRAND PHARMACY (Franchise of Clinix)
:Address
Opp. Al-Hafeez Garden, Main G.T. Road, Manawan, Lahore
:Phone
04236523033
:Email
grand@clinix.com.pk
:Closing Time
02:00
:Opening Time
07:00
BAHRIA TOWN PHARMACY (Franchisee of Clinix)
:Address
Sector C , Plaza 2, Talwar Chowk, Bahria Town, Lahore
:Phone
04237890515
:Email
bahria@clinix.com.pk
:Closing Time
02:00
:Opening Time
07:00
SHAHKAM PHARMACY (Franchise of Clinix)
:Address
6-A MOHLANWAL SCHEME, NEAR SHAHKAM CHOWK, JUBILEE TOWN LAHORE
:Phone
042-37813372 0303-4044533
:Email
shahkam@clinix.com.pk
:Closing Time
02:00
:Opening Time
07:00
SABZAZAR PHARMACY (Franchise of Clinix)
:Address
SABZAZAR PHARMACY 111-A BLOCK, SABZAZAR SCHEME MULTAN ROAD, LAHORE
:Phone
042-37496444
:Email
sabzazar@clinix.com.pk
:Closing Time
02:00
:Opening Time
07:00
Home
|
Branches
|
Careers
|
Contact Us
Copyright ©2023 Clinix All Rights Reserved. Powered By Bright-line Solutions.",04237809519,central@clinix.com.pk,https://clinix.com.pk/allBranches/11,,,,"Outlet in Lahore ; CENTRAL PHARMACY (Franchise of Clinix) · 153, Main Multan Road, near Shahnoor studios, Allama Iqbal Town, Lahore · 04237809519 ; WAHDAT BRANCH ...",85,Hot,Google Search,https://clinix.com.pk/allBranches/11
hPharmacy – Buy Medicine at Best Price in Lahore,hPharmacy – Buy Medicine at Best Price in Lahore,"1. Carrefour, Emporium Mall, Lahore",923008448128,Info@hpharmacy.pk,https://hpharmacy.pk/,"All Categories
Baby Food
Baby Oral care
Beauty Care
   Hair and scalp
   Nail and cuticle
   Skin Beauty care
Hair & Skin care
Health Care
   Organic
   Medicines
      Diabetes
      Health Conditions
   Multivitamins
      Pregnancy Care
      Folic Acid Supplements
      Good Vision
      Men’s Health
      Women’s Health
      Immunity Booster
   Ayurvedic Care
   Respiratory
   Dermatological
   Cough
   Cold & Flu
Home Care
Lifestyle & Fitness
Personal Care
   Skin care
   Cleansing products
   Feminine care
   Hair care
   Oral care
   Eye Care
   Ear Care
   Sexual Wellness
Skin Care
   Skin Care Combo
   Anti Aging
   Face Wash
   Moisturiser
Eye Health
Baby Care
Cold & Flu
Baby & Mother Care
Healthcare Devices
Medicines
Health Conditions
Home healthcare
Respiratory
Antibiotic
Anti aging
Home Health
Facial Cleanser / Skincare
Muscle Relaxant + Analgesic
Sexual Wellness
Heart & Brain Health
HEATHCARE DEVICES
Eye Care Medicine
Health & Personal Care
Multivitamins & Minerals
Ear Care Medicine
Women’s Health Care
Moisturizers
Baby & Child Care
Health & Growth Supplements
Baby & Child Nutrition
Health & Immunity Support
Hair & Scalp Care
Hair & Nail Support
Prescription
Eye Care
Hair Growth / Hair Care
Hair & Nails
medical care
Health & Fitness
Bacterial Infections
Drops Antibiotic
Cardiology
Vitamins & Supplements
Antihypertensives
Pain Relief
Antidepressant
Blood Pressure Control
Digestive Health / Stomach Care
Antihypertensive
Oral Care",,,"H pharmacy is an official Health Partner with Carrefour Pakistan. H pharmacy is a best Pharmacy in Lahore with high-quality medicines,",90,Hot,Google Search,https://hpharmacy.pk/
How can we help you?,,"400 15px Roboto,RobotoDraft,Helvetica,Arial,sans",922337203685,,https://support.google.com/websearch/?p=ws_results_help&hl=en-PK&fg=1,,,,,60,Warm,Google Search,https://support.google.com/websearch/?p=ws_results_help&hl=en-PK&fg=1
